job_title,company_name,company_location,work_method,post_date,work_time
Customer Intelligence Analyst,Zurich Insurance,"Barcelona, Catalonia, Spain",Hybrid,6 days ago,Full-time
Business Analyst,ALTER SOLUTIONS,Spain,On-site,1 week ago,Full-time · Associate
BI Developer (SQL + GCP) 100% remoto,atSistemas,Spain,On-site,6 days ago,Full-time · Associate
"Senior Data Analyst, Remote Spain",Hotelbeds,Spain,Remote,3 weeks ago,Full-time · Mid-Senior level
Consultor Power BI,Avanade,"Alicante, Valencian Community, Spain",Hybrid,2 weeks ago,Full-time · Associate
Senior Business Intelligence Consultant,Prodware,"Madrid, Community of Madrid, Spain",On-site,1 week ago,Full-time · Mid-Senior level
Business Intelligence-MicroStrategy Analyst,Atos,"Madrid, Community of Madrid, Spain",Hybrid,2 weeks ago,Full-time · Mid-Senior level
Senior Data Analyst,Aon,"Madrid, Community of Madrid, Spain",Hybrid,3 hours ago,Full-time
Senior Data Analyst (E-commerce Analytics),Civitatis.com,"Madrid, Community of Madrid, Spain",On-site,3 weeks ago,Full-time · Entry level
Data Specialist Spark / Scala - Full Remote,Profile Software Services,"Madrid, Community of Madrid, Spain",Hybrid,3 weeks ago,Full-time · Mid-Senior level
Senior Data Analyst & Team Leader,CHEP,"Madrid, Community of Madrid, Spain",Hybrid,3 weeks ago,Full-time · Mid-Senior level
Analista de Datos Azure (Sector Energético),Adecco Outsourcing,Greater Madrid Metropolitan Area,Hybrid,3 weeks ago,Full-time · Mid-Senior level
Data analyst senior,Apiux Tecnología,"Madrid, Community of Madrid, Spain",Remote,1 day ago,Full-time · Mid-Senior level
Settlement Data Analyst - Short Term Power,TotalEnergies,Greater Madrid Metropolitan Area,Hybrid,1 week ago,Full-time
Mobility Analytics Product Engineer & Data Scientist,Nommon,"Madrid, Community of Madrid, Spain",Hybrid,22 hours ago,Full-time · Associate
Desk Quant Analyst,Squarepoint Capital,"Madrid, Community of Madrid, Spain",Hybrid,1 week ago,Full-time
Biosimilars Data Analyst,Clarivate,"Barcelona, Catalonia, Spain",Remote,1 week ago,Full-time · Entry level
Global BI Senior Analyst,Hays,"Barcelona, Catalonia, Spain",Hybrid,2 weeks ago,Full-time · Mid-Senior level
Consultor/a BI,NTT DATA,"Granada, Andalusia, Spain",Hybrid,1 week ago,Full-time · Mid-Senior level
Competitiveness Senior Analyst,Hotelbeds,"Palma, Balearic Islands, Spain",Remote,6 days ago,Full-time
Multilingual Associate Data Research Analyst,Morningstar,"Madrid, Community of Madrid, Spain",On-site,2 weeks ago,Full-time · Associate
Quantitative Python Market Analyst,Ebury,"Madrid, Community of Madrid, Spain",Remote,6 days ago,Full-time · Entry level
Senior - Data Analyst Team Lead,Deloitte,"Madrid, Community of Madrid, Spain",On-site,2 days ago,Full-time · Mid-Senior level
BI fullstack consultant,VASS,"Madrid, Community of Madrid, Spain",Hybrid,6 days ago,Full-time · Mid-Senior level
Data Analyst,SDG Group España,"Barcelona, Catalonia, Spain",Hybrid,4 days ago,Full-time · Entry level
Business Intelligence Analyst,TD SYNNEX,"Barcelona, Catalonia, Spain",Hybrid,3 weeks ago,Full-time · Mid-Senior level
Senior Product Data Analyst,PayFit France,Spain,Hybrid,2 weeks ago,Full-time
Data Scientist,GEOTAB,"Madrid, Community of Madrid, Spain",On-site,6 days ago,Full-time · Associate
💻 Data Engineer - Inglés B2-C1 - Remoto 100% Teletrabajo,Quental,Spain,Hybrid,2 weeks ago,Full-time · Associate
French Language Data Analyst,TransPerfect,"Barcelona, Catalonia, Spain",Hybrid,2 weeks ago,Full-time · Mid-Senior level
Consultor Power BI,Avanade,"Madrid, Community of Madrid, Spain",Remote,6 days ago,Full-time · Associate
Senior Game Data Analyst,Tilting Point,"Barcelona, Catalonia, Spain",Hybrid,2 weeks ago,Part-time · Entry level
Senior Business Analyst (Resilience),Kiwi.com,"Barcelona, Catalonia, Spain",Remote,2 weeks ago,Full-time · Mid-Senior level
Data Engineer,DATAIS,Greater Madrid Metropolitan Area,Hybrid,2 weeks ago,Full-time · Associate
Clinical Development Biostatistician,confidential pharma company,"Barcelona, Catalonia, Spain",Remote,1 week ago,Full-time · Mid-Senior level
"Consultant, Data Analytics | Strategy Consulting | Madrid",FTI Consulting,Greater Madrid Metropolitan Area,Hybrid,3 days ago,Internship · Internship
Analista Senior BI Data Ops,Linea Directa Aseguradora,"Tres Cantos, Community of Madrid, Spain",On-site,3 weeks ago,Full-time · Associate
SENIOR DATA ANALYST (Digital marketing) -ID: 22000D90,Prosegur,"Madrid, Community of Madrid, Spain",On-site,2 weeks ago,Full-time · Mid-Senior level
"Sr. Data Analyst, Product (Ecosystem)","Docker, Inc",Spain,On-site,6 days ago,Full-time · Associate
Business Analyst,Randstad,"Madrid, Community of Madrid, Spain",Hybrid,3 weeks ago,Full-time · Associate
REMOTE WORK for Spanish Speakers | Data Analyst,TELUS International AI Data Solutions,"Barcelona, Catalonia, Spain",On-site,1 week ago,Full-time · Mid-Senior level
Data Partnerships Senior Analyst – Insights,PepsiCo,"Vitoria-Gasteiz, Basque Country, Spain",Hybrid,1 day ago,Full-time · Internship
Analytics Engineer | CDP,The Cocktail,Spain,On-site,2 weeks ago,Full-time · Mid-Senior level
Senior Reporting Data Analyst,Zurich Insurance,"Barcelona, Catalonia, Spain",Hybrid,2 weeks ago,Full-time · Mid-Senior level
Data Scientist (Risk),Revolut,"Madrid, Community of Madrid, Spain",On-site,4 weeks ago,Full-time · Mid-Senior level
Data Analyst Intern - Business Performance Analytics,Criteo,"Barcelona, Catalonia, Spain",Hybrid,1 day ago,Full-time · Entry level
Junior Operations Engineer,Atlantica Sustainable Infrastructure Plc,"Seville, Andalusia, Spain",Remote,2 weeks ago,Full-time · Mid-Senior level
Consultor/a Data Analyst,EY,"Madrid, Community of Madrid, Spain",Remote,5 days ago,Full-time · Entry level
Artificial Intelligence Strategy analyst,NTT DATA Europe & Latam,"Canary Islands, Spain",On-site,1 week ago,Full-time · Mid-Senior level
LOCATION STRATEGY & INSIGHT ANALYST - EUROPE JD,JD Sports Iberia,"Alicante, Valencian Community, Spain",Hybrid,2 weeks ago,Full-time · Mid-Senior level
Business Development Analyst - US Market,Enertis Applus+,"Madrid, Community of Madrid, Spain",Hybrid,1 week ago,Full-time · Entry level
Prácticas en Data Analyst,Vibia,"Gavà, Catalonia, Spain",Hybrid,1 week ago,Part-time · Entry level
Consultor Senior BI,CGI,"Madrid, Community of Madrid, Spain",On-site,3 days ago,Full-time · Mid-Senior level
Data Business Analyst,NEORIS,"Madrid, Community of Madrid, Spain",Remote,4 weeks ago,Full-time · Associate
"Principal Biostatistician, single sponsor, home or office-based EMEA",Labcorp,"Barcelona, Catalonia, Spain",Hybrid,1 week ago,Full-time · Entry level
"Data Analyst (Bangkok Based, Relocation Provided)",Agoda,"Oviedo, Principality of Asturias, Spain",Hybrid,1 week ago,Part-time · Entry level
Consultor QlikView / QlikSense,CGI,Greater Madrid Metropolitan Area,On-site,2 weeks ago,Full-time · Mid-Senior level
Principal Statistician,Warman O'Brien,"Madrid, Community of Madrid, Spain",Remote,5 days ago,Full-time · Mid-Senior level
Data Scientist (Risk),Revolut,Spain,Hybrid,1 day ago,Full-time · Mid-Senior level
Consultor Power BI,Avanade,"Barcelona, Catalonia, Spain",Hybrid,2 weeks ago,Full-time
Biostatistician II,Precision Medicine Group,"Madrid, Community of Madrid, Spain",Remote,19 hours ago,Full-time · Mid-Senior level
CONSULTOR SENIOR BI & JEDOX,Devoteam,"Zaragoza, Aragon, Spain",On-site,1 week ago,Part-time · Entry level
French Language Data Analyst (F/M) - Barcelona,TransPerfect,Greater Barcelona Metropolitan Area,Hybrid,1 week ago,Part-time · Entry level
